,Full request URI,Label
0,http://gmpg.org/xfn/11,News
1,http://www.bu.edu/academics,Education
2,http://www.bu.edu/admissions,Education
3,http://www.bu.edu/international/,Education
4,http://www.bu.edu/transfer/,Education
5,http://www.bu.edu/finaid/,Education
6,http://www.bu.edu/extended/,Education
7,http://www.bu.edu/academics/,Education
8,http://www.bu.edu/academics/schools-colleges/,Education
9,http://www.bumc.bu.edu/,Education
10,http://www.bu.edu/academics/degree-programs/,Education
11,http://www.bu.edu/academics/bulletin/,Education
12,http://www.bu.edu/summer/,Education
13,http://www.bu.edu/digital/,Education
14,http://www.bu.edu/research/cf/,Education
15,http://www.bu.edu/library/,Education
16,http://www.bu.edu/researchsupport/,Education
17,http://www.bu.edu/research/aboutus/award/,Education
18,http://www.bu.edu/researchsupport/project-lifecycle/finding-funding/,Education
19,http://www.bu.edu/urop/students/on-campus-opportunities/,Education
20,http://www.bu.edu/global/,Education
21,http://www.bu.edu/global/identity/,Education
22,http://www.bu.edu/abroad/,Education
23,http://www.bu.edu/global/study-research/,Education
24,http://www.bu.edu/global/support/,Education
25,http://www.bu.edu/global/where-are-we/,Education
26,http://www.bu.edu/fitrec/,Education
27,http://www.bu.edu/agganis/,Education
28,http://www.bu.edu/sustainability/,Education
29,http://www.bu.edu/trustees/,Education
30,http://www.bu.edu/hr/,Education
31,http://www.bu.edu/tech/,Education
32,http://www.bu.edu/news/,Education
33,http://www.bu.edu/students/,Education
34,http://www.bu.edu/staff/,Education
35,http://www.bu.edu/parentsprogram/,Education
36,http://www.bu.edu/alumni/,Education
37,http://www.bu.edu/policies/non-handbook-version-equal-opp-affirm-action/,Education
38,http://www.bu.edu/copyright/,Education
39,http://www.bu.edu/policies/digital-privacy-statement/,Education
40,http://www.asianews.it/it.xml,News
41,http://www.asianews.it/it.html,News
42,http://www.asianews.it/it/Aiuta-AsiaNews.html,News
43,"http://www.asianews.it/notizie-it/www.asianews.it,-ora-anche-in-inglese-e-cinese-127.html",News
44,http://www.pime.org/,News
45,http://www.asianews.it/list/subscribe-it.html,News
46,http://twitter.com/asianewsit,News
47,http://facebook.com/asianewsit,News
48,http://www.asianews.it/theme-it/Cina-1.html,News
49,http://www.asianews.it/theme-it/Dottrina-Sociale-della-Chiesa-3.html,News
50,http://www.asianews.it/theme-it/Economia-6.html,News
51,http://www.asianews.it/theme-it/India-10.html,News
52,http://www.asianews.it/theme-it/Islam-5.html,News
53,http://www.asianews.it/theme-it/Vaticano-2.html,News
54,http://www.asianews.it/geo-it/Asia-Centrale-3.html,News
55,http://www.asianews.it/geo-it/Kazakistan-26.html,News
56,http://www.asianews.it/geo-it/Kyrgyzstan-30.html,News
57,http://www.asianews.it/geo-it/Tagikistan-47.html,News
58,http://www.asianews.it/geo-it/Turkmenistan-50.html,News
59,http://www.asianews.it/geo-it/Uzbekistan-52.html,News
60,http://www.asianews.it/geo-it/Asia-del-Nord-4.html,News
61,http://www.asianews.it/geo-it/Mongolia-35.html,News
62,http://www.asianews.it/geo-it/Russia-41.html,News
63,http://www.asianews.it/geo-it/Cina-17.html,News
64,http://www.asianews.it/geo-it/Corea-del-Nord-27.html,News
65,http://www.asianews.it/geo-it/Corea-del-Sud-28.html,News
66,http://www.asianews.it/geo-it/Giappone-25.html,News
67,http://www.asianews.it/geo-it/Hong-Kong-58.html,News
68,http://www.asianews.it/geo-it/Macao-33.html,News
69,http://www.asianews.it/geo-it/Taiwan-46.html,News
70,http://www.asianews.it/geo-it/Asia-Nord-Ovest-7.html,News
71,http://www.asianews.it/geo-it/Armenia-9.html,News
72,http://www.asianews.it/geo-it/Azerbaijan-10.html,News
73,http://www.asianews.it/geo-it/Georgia-19.html,News
74,http://www.asianews.it/geo-it/Asia-Sud-Est-5.html,News
75,http://www.asianews.it/geo-it/Brunei-14.html,News
76,http://www.asianews.it/geo-it/Cambogia-16.html,News
77,http://www.asianews.it/geo-it/Filippine-39.html,News
78,http://www.asianews.it/geo-it/Indonesia-21.html,News
79,http://www.asianews.it/geo-it/Laos-31.html,News
80,http://www.asianews.it/geo-it/Malaysia-34.html,News
81,http://www.asianews.it/geo-it/Myanmar-15.html,News
82,http://www.asianews.it/geo-it/Singapore-43.html,News
83,http://www.asianews.it/geo-it/Tailandia-48.html,News
84,http://www.asianews.it/geo-it/Timor-Est-18.html,News
85,http://www.asianews.it/geo-it/Vietnam-53.html,News
86,http://www.asianews.it/geo-it/Asia-del-Sud-2.html,News
87,http://www.asianews.it/geo-it/Afghanistan-8.html,News
88,http://www.asianews.it/geo-it/Bangladesh-12.html,News
89,http://www.asianews.it/geo-it/Bhutan-13.html,News
90,http://www.asianews.it/geo-it/India-20.html,News
91,http://www.asianews.it/geo-it/Nepal-36.html,News
92,http://www.asianews.it/geo-it/Pakistan-38.html,News
93,http://www.asianews.it/geo-it/Sri-Lanka-44.html,News
94,http://www.asianews.it/geo-it/Africa-63.html,News
95,http://www.asianews.it/geo-it/America-Centrale-74.html,News
96,http://www.asianews.it/geo-it/America-del-Nord-61.html,News
97,http://www.asianews.it/geo-it/America-del-Sud-62.html,News
98,http://www.asianews.it/geo-it/Europa-60.html,News
99,http://www.asianews.it/geo-it/Medio-Oriente-1.html,News
100,http://www.asianews.it/geo-it/Arabia-Saudita-42.html,News
101,http://www.asianews.it/geo-it/Bahrain-11.html,News
102,http://www.asianews.it/geo-it/Emirati-Arabi-Uniti-51.html,News
103,http://www.asianews.it/geo-it/Giordania-59.html,News
104,http://www.asianews.it/geo-it/Iran-22.html,News
105,http://www.asianews.it/geo-it/Iraq-23.html,News
106,http://www.asianews.it/geo-it/Israele-24.html,News
107,http://www.asianews.it/geo-it/Kuwait-29.html,News
108,http://www.asianews.it/geo-it/Libano-32.html,News
109,http://www.asianews.it/geo-it/Oman-37.html,News
110,http://www.asianews.it/geo-it/Palestina-57.html,News
111,http://www.asianews.it/geo-it/Qatar-40.html,News
112,http://www.asianews.it/geo-it/Siria-45.html,News
113,http://www.asianews.it/geo-it/Turchia-49.html,News
114,http://www.asianews.it/geo-it/Yemen-54.html,News
115,http://www.asianews.it/geo-it/Oceania-73.html,News
116,http://www.asianews.it/notizie-it/Mons.-Kondrusiewicz:-I-giovani-bielorussi-vogliono-vivere-in-modo-diverso-50945.html,News
117,"http://www.asianews.it/notizie-it/Bangkok,-tornano-in-cella-due-leader-democratici-50944.html",News
118,"http://www.asianews.it/notizie-it/Israele,-coronavirus:-nuovo-lockdown-per-contenere-i-contagi-50942.html",News
119,http://www.asianews.it/notizie-it/Onu:-La-legge-sulla-sicurezza-per-Hong-Kong-viola-i-diritti-fondamentali-50941.html,News
120,http://www.asianews.it/index.php?l=it&idn=1&filtro_art=1&data_art_filtro=2020-09-04,News
121,http://www.asianews.it/notizie-it/Ragazzo-cristiano-resiste-alla-conversione-forzata-e-alle-minacce-di-giovani-musulmani-(Video)-50862.html,News
122,http://www.asianews.it/notizie-it/Mons.-Kondrusiewicz-incontra-il-ministro;-Lukashenko-minaccia-le-Chiese-50857.html,News
123,http://www.asianews.it/notizie-it/Patriarca-maronita:-elezioni-anticipate-e-nuovo-governo-per-sanare-una-nazione-ferita-50797.html,News
124,http://www.asianews.it/it/Video-gallery.html,News
125,http://www.asianews.it/index.php?l=it&idn=110&dossier=159,News
126,http://www.asianews.it/index.php?l=it&idn=110&dossier=157,News
127,http://www.asianews.it/index.php?l=it&idn=110&dossier=156,News
128,http://www.asianews.it/index.php?l=it&idn=110&dossier=155,News
129,http://www.asianews.it/index.php?l=it&idn=110&dossier=154,News
130,"http://www.asianews.it/notizie-it/Cari-Amici,-vi-chiediamo-un-aiuto-per-AsiaNews-48108.html",News
131,http://www.asianews.it/index.php?l=it&idn=111,News
132,http://www.asianews.it/it/Mediterraneo.html,News
133,http://www.asianews.it/it/Simposio-AsiaNews-2018.html,News
134,http://www.asianews.it/it/Simposio-Asianews-2017.html,News
135,http://www.asianews.it/index.php?l=it&idn=114,News
