,Full request URI,Label
0,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/bam/www/numbers.html,Reference
1,http://www.worldstatesmen.org/,Reference
2,http://www.nctcog.org/rd/,Reference
3,https://www.cia.gov/library/publications/the-world-factbook/,Reference
4,http://www.thealmanack.com/,Reference
5,http://www.chitralekha.org,Reference
6,http://www.filmakers.com/,Reference
7,http://www.screensound.gov.au/,Reference
8,http://www.sfm.org/,Reference
9,http://www.brighton.ac.uk/screenarchive/,Reference
10,http://www.clrjamesinstitute.org/,Reference
11,http://lib74123.usask.ca/scaa/rad/,Reference
12,http://www.archives.gov/,Reference
13,http://www.archives.gov/research_room/alic/reference_desk/archives_resources/archival_terminology.html,Reference
14,http://www.archives.ie/,Reference
15,http://www.edrms.com.au,Reference
16,http://www.moreq2.eu,Reference
17,http://www.archives.gov/records_management/,Reference
18,http://www.foia.cia.gov/,Reference
19,http://www.archives.govt.nz/,Reference
20,http://www.national.archives.gov.za/,Reference
21,http://www.archives.tas.gov.au/,Reference
22,http://www.archiveshub.ac.uk/,Reference
23,http://www.lambethpalacelibrary.org/,Reference
24,http://www.ncaonline.org.uk/,Reference
25,http://www.proni.gov.uk/,Reference
26,http://www.llgc.org.uk/cac/,Reference
27,http://www.dundeecity.gov.uk/archives/,Reference
28,http://www.llgc.org.uk/cac/cac0004.htm,Reference
29,http://www.plymouth.gov.uk/archives/,Reference
30,http://www.archives.org.uk/,Reference
31,http://www.gmcro.co.uk/,Reference
32,http://www.devon.gov.uk/record_office.htm,Reference
33,http://www.dorsetforyou.com/index.jsp?articleid=386613,Reference
34,http://www.access.gpo.gov/ota/,Reference
35,http://www.archives.gov/,Reference
36,http://www.milnelibrary.org/hlh.html,Reference
37,http://66.129.110.34/,Reference
38,http://www.archives.nysed.gov,Reference
39,http://www.colorado.gov/dpa/doit/archives/,Reference
40,http://www.msa.md.gov/,Reference
41,http://www.archiveshub.ac.uk/,Reference
42,http://archives.syr.edu/,Reference
43,http://www.cvparchive.org,Reference
44,http://www.usask.ca/archives/,Reference
45,http://www.trentu.ca/admin/library/archives/,Reference
46,http://www.lhsa.lib.ed.ac.uk/,Reference
47,http://www.blurtit.com/,Reference
48,http://www.allexperts.com/,Reference
49,http://www.askmehelpdesk.com,Reference
50,http://www.bumperbrain.com/,Reference
51,http://rogomo.com,Reference
52,http://www.nysl.nysed.gov/refserv.htm,Reference
53,http://www.kyvl.org/html/ref/helpform.shtml,Reference
54,http://www.spl.org/default.asp?pageid=help_ask,Reference
55,http://www.askwhyky.org/,Reference
56,http://www.textalibrarian.com,Reference
57,http://ilovelibraries.org/ask-librarian/index.cfm,Reference
58,http://stackoverflow.com/,Reference
59,http://walrus.wr.usgs.gov/ask-a-geologist/,Reference
60,http://www.seaworld.org/ask-shamu/faq.htm,Reference
61,http://www.sciencebuddies.org/science-fair-projects/ask_an_expert_intro.shtml,Reference
62,http://www.mathnerds.com/mathnerds/,Reference
